,gene_ids-0
Phf3,ENSMUSG00000048874.11
RP24-172B22.6,ENSMUSG00000103783.1
RP23-471J16.2,ENSMUSG00000104315.1
Ptp4a1,ENSMUSG00000026064.11
Gm5698,ENSMUSG00000086151.3
Gm9458,ENSMUSG00000086726.2
Gm5699,ENSMUSG00000087346.2
Gm29669,ENSMUSG00000100371.1
Gm28644,ENSMUSG00000100237.1
Gm27362,ENSMUSG00000098529.1
4931428L18Rik,ENSMUSG00000086727.3
Gm29128,ENSMUSG00000100910.1
Gm7893,ENSMUSG00000099796.1
Lgsn,ENSMUSG00000050217.9
Pih1d3,ENSMUSG00000026063.4
Gm26145,ENSMUSG00000077664.1
Gm4850,ENSMUSG00000100205.1
Gm28645,ENSMUSG00000100592.1
Gm6489,ENSMUSG00000094215.2
RP24-342F15.1,ENSMUSG00000101093.1
Gm10307,ENSMUSG00000070960.4
Gm23032,ENSMUSG00000088620.1
Gm7910,ENSMUSG00000082159.2
Khdrbs2,ENSMUSG00000026058.7
Gm25814,ENSMUSG00000064688.1
RP23-109J14.2,ENSMUSG00000103482.1
RP23-109J14.3,ENSMUSG00000104498.1
RP23-109J14.5,ENSMUSG00000104313.1
RP24-390L20.1,ENSMUSG00000102865.1
RP24-390L20.5,ENSMUSG00000102321.1
Gm5415,ENSMUSG00000091318.2
Gm24732,ENSMUSG00000089489.1
RP23-28G12.2,ENSMUSG00000104433.1
Gm23024,ENSMUSG00000089395.1
RP23-144E24.1,ENSMUSG00000102926.1
Gm28624,ENSMUSG00000100497.1
RP23-75G11.4,ENSMUSG00000102917.1
Gm7114,ENSMUSG00000100481.1
Gm4785,ENSMUSG00000100590.1
Gm24901,ENSMUSG00000088750.1
RP23-154N2.3,ENSMUSG00000104230.1
Gm2987,ENSMUSG00000101754.2
Gm25792,ENSMUSG00000065223.1
Gm18799,ENSMUSG00000100318.2
Gm7933,ENSMUSG00000101612.2
Gm23453,ENSMUSG00000065260.1
Prim2,ENSMUSG00000026134.11
Gm29228,ENSMUSG00000101682.1
RP24-423J19.3,ENSMUSG00000102714.1
Gm17813,ENSMUSG00000102093.1
RP24-423J19.1,ENSMUSG00000103746.1
RP24-423J19.7,ENSMUSG00000102198.1
Rab23,ENSMUSG00000004768.10
Bag2,ENSMUSG00000042215.8
RP23-32P22.1,ENSMUSG00000103072.1
Zfp451,ENSMUSG00000042197.9
Gm15455,ENSMUSG00000081402.4
Bend6,ENSMUSG00000042182.12
RP23-32P22.2,ENSMUSG00000104416.1
Dst,ENSMUSG00000026131.13
AC123072.1,ENSMUSG00000103888.1
RP23-87D8.2,ENSMUSG00000103596.1
Gm28631,ENSMUSG00000099382.1
Gm23792,ENSMUSG00000084506.1
RP23-87D8.4,ENSMUSG00000103364.1
DST,ENSMUSG00000103405.1
Gm26788,ENSMUSG00000096992.3
RP24-422C24.2,ENSMUSG00000104475.1
RP24-422C24.3,ENSMUSG00000103001.1
RP24-152H15.5,ENSMUSG00000104397.1
RP24-152H15.4,ENSMUSG00000102839.1
Gm5266,ENSMUSG00000101206.1
Gm3052,ENSMUSG00000101462.2
mmu-mir-5103,ENSMUSG00000102336.1
Mir5103,ENSMUSG00000092852.1
Ccdc115,ENSMUSG00000042111.9
Gm28306,ENSMUSG00000101711.1
Imp4,ENSMUSG00000026127.9
Ptpn18,ENSMUSG00000026126.11
Gm28417,ENSMUSG00000100280.2
4930568A12Rik,ENSMUSG00000101223.2
Prss39,ENSMUSG00000026125.5
Gm28416,ENSMUSG00000101116.1
Cfc1,ENSMUSG00000026124.4
Gm28419,ENSMUSG00000101803.1
Prss40,ENSMUSG00000037529.9
1700101I19Rik,ENSMUSG00000045815.4
Amer3,ENSMUSG00000045174.10
Gm28418,ENSMUSG00000100524.1
RP24-70I14.5,ENSMUSG00000102499.1
RP24-70I14.6,ENSMUSG00000103521.1
RP24-70I14.4,ENSMUSG00000104098.1
Arhgef4,ENSMUSG00000037509.14
AC107766.1,ENSMUSG00000104492.1
RP23-166L24.2,ENSMUSG00000102537.1
RP23-348C6.5,ENSMUSG00000102612.1
RP23-348C6.3,ENSMUSG00000104002.1
Fam168b,ENSMUSG00000037503.8
RP23-348C6.1,ENSMUSG00000104358.1
Plekhb2,ENSMUSG00000026123.7
RP23-348C6.4,ENSMUSG00000103716.1
RP23-348C6.6,ENSMUSG00000103548.1
RP23-348C6.7,ENSMUSG00000103760.1
RP23-309D5.1,ENSMUSG00000103997.1
Gm25096,ENSMUSG00000077231.1
RP24-550I15.1,ENSMUSG00000104417.1
Gm25634,ENSMUSG00000064601.1
Gm28415,ENSMUSG00000101714.1
RP24-72B22.1,ENSMUSG00000102531.1
RP24-72B22.2,ENSMUSG00000103096.1
RP24-424K5.3,ENSMUSG00000102279.1
RP24-424K5.4,ENSMUSG00000103708.1
RP24-424K5.1,ENSMUSG00000104201.1
RP24-424K5.2,ENSMUSG00000102434.1
Hs6st1,ENSMUSG00000045216.7
RP24-424K5.5,ENSMUSG00000104523.1
RP23-173H19.3,ENSMUSG00000102202.1
Uggt1,ENSMUSG00000037470.10
Mir6897,ENSMUSG00000098752.1
Neurl3,ENSMUSG00000047180.8
Arid5a,ENSMUSG00000037447.12
RP23-134L6.5,ENSMUSG00000102762.1
Kansl3,ENSMUSG00000010453.8
Mir6898,ENSMUSG00000098680.1
Fer1l5,ENSMUSG00000037432.12
Lman2l,ENSMUSG00000001143.9
Cnnm4,ENSMUSG00000037408.10
RP23-294I17.4,ENSMUSG00000104316.1
Cnnm3,ENSMUSG00000001138.9
RP23-294I17.6,ENSMUSG00000102845.1
Ankrd23,ENSMUSG00000067653.7
ANKRD23,ENSMUSG00000103661.1
Ankrd39,ENSMUSG00000079610.4
Sema4c,ENSMUSG00000026121.9
D430040D24Rik,ENSMUSG00000087589.3
Fam178b,ENSMUSG00000046337.13
Gm6428,ENSMUSG00000089906.1
Gm24133,ENSMUSG00000077939.1
Cox5b,ENSMUSG00000061518.6
Actr1b,ENSMUSG00000037351.5
RP23-247A1.6,ENSMUSG00000102416.1
RP23-247A1.7,ENSMUSG00000104237.1
Zap70,ENSMUSG00000026117.10
Gm18828,ENSMUSG00000097291.1
Tmem131,ENSMUSG00000026116.7
RP23-328J8.4,ENSMUSG00000103016.1
RP23-328J8.2,ENSMUSG00000102930.1
RP23-328J8.3,ENSMUSG00000103159.1
Rpl12-ps1,ENSMUSG00000080054.3
n-R5s210,ENSMUSG00000095944.1
Vwa3b,ENSMUSG00000050122.14
RP23-259P18.1,ENSMUSG00000103603.1
Cnga3,ENSMUSG00000026114.10
RP23-271C13.1,ENSMUSG00000102231.1
Inpp4a,ENSMUSG00000026113.13
4930439A04Rik,ENSMUSG00000086064.1
RP23-271C13.2,ENSMUSG00000102879.1
Coa5,ENSMUSG00000026112.7
Unc50,ENSMUSG00000026111.11
Mgat4a,ENSMUSG00000026110.11
RP23-285H9.2,ENSMUSG00000103948.1
4930594C11Rik,ENSMUSG00000087233.1
2010300C02Rik,ENSMUSG00000026090.12
4930556I23Rik,ENSMUSG00000089767.1
RP23-402K6.2,ENSMUSG00000104365.1
RP23-21P10.1,ENSMUSG00000102650.1
Tsga10,ENSMUSG00000060771.10
Gm26805,ENSMUSG00000097268.1
Lipt1,ENSMUSG00000037216.5
Mitd1,ENSMUSG00000026088.11
Mrpl30,ENSMUSG00000026087.7
Lyg2,ENSMUSG00000061584.6
Gm15457,ENSMUSG00000087374.1
Lyg1,ENSMUSG00000026085.7
Gm23409,ENSMUSG00000089141.1
Txndc9,ENSMUSG00000058407.8
Eif5b,ENSMUSG00000026083.8
Rev1,ENSMUSG00000026082.7
RP23-195A24.4,ENSMUSG00000103804.1
RP23-195A24.5,ENSMUSG00000102716.1
Aff3,ENSMUSG00000037138.12
Gm16150,ENSMUSG00000085391.1
Gm16151,ENSMUSG00000085280.1
Gm16152,ENSMUSG00000087131.3
RP24-390D21.4,ENSMUSG00000102984.1
RP24-187B13.4,ENSMUSG00000102541.1
