,gene_ids-0
Gm29550,ENSMUSG00000100445.1
Gm29551,ENSMUSG00000102072.1
Gm8480,ENSMUSG00000101290.1
Gm29553,ENSMUSG00000100103.1
Gm22119,ENSMUSG00000093335.1
Gm28630,ENSMUSG00000102120.1
Gm28629,ENSMUSG00000099445.1
Gm6026,ENSMUSG00000094881.2
Uba1y-ps1,ENSMUSG00000099748.1
Sry,ENSMUSG00000069036.3
Gm18798,ENSMUSG00000101064.1
Gm16501,ENSMUSG00000095573.2
Gm28628,ENSMUSG00000101114.1
Gm4064,ENSMUSG00000102053.1
Gm6137,ENSMUSG00000100700.1
Gm8498,ENSMUSG00000101066.1
Rbmy,ENSMUSG00000094658.3
Gm10256,ENSMUSG00000095852.3
Gm8502,ENSMUSG00000100145.1
Gm8506,ENSMUSG00000099405.1
Gm10352,ENSMUSG00000091987.4
Gm8510,ENSMUSG00000099728.1
Gm29289,ENSMUSG00000101667.1
Gm21677,ENSMUSG00000093918.3
Gm29288,ENSMUSG00000099455.1
Gm21693,ENSMUSG00000094511.3
Gm21139,ENSMUSG00000101141.1
Gm21704,ENSMUSG00000093987.3
Gm21147,ENSMUSG00000100285.1
Gm21708,ENSMUSG00000095948.3
Gm21156,ENSMUSG00000100960.1
Rhoay-ps2,ENSMUSG00000099970.1
Gm2316,ENSMUSG00000099660.1
Gm3376,ENSMUSG00000096520.3
Gm2325,ENSMUSG00000101016.1
Gm28649,ENSMUSG00000100360.1
Gm8521,ENSMUSG00000099838.1
Gm18177,ENSMUSG00000100132.1
Gm28429,ENSMUSG00000101030.1
Gm28413,ENSMUSG00000100641.1
Gm28412,ENSMUSG00000101145.1
Gm8525,ENSMUSG00000100656.1
Gm28414,ENSMUSG00000100082.1
Gm28648,ENSMUSG00000101712.1
Gm28647,ENSMUSG00000101558.1
Gm29435,ENSMUSG00000100753.1
Vmn2r-ps139,ENSMUSG00000101499.1
Gm29038,ENSMUSG00000101108.1
Gm28191,ENSMUSG00000100300.1
Gm28186,ENSMUSG00000100683.1
Gm21064,ENSMUSG00000102088.2
Gm28241,ENSMUSG00000099514.1
Gm28242,ENSMUSG00000100446.1
RP24-475E12.2,ENSMUSG00000102680.1
Gm28356,ENSMUSG00000099684.2
Gm28357,ENSMUSG00000100984.1
Gm29352,ENSMUSG00000100137.1
Gm29351,ENSMUSG00000100958.1
Gm29350,ENSMUSG00000099575.1
Gm29349,ENSMUSG00000100597.1
Gm29355,ENSMUSG00000099410.1
Gm20918,ENSMUSG00000093927.2
Gm29354,ENSMUSG00000101212.1
Gm29353,ENSMUSG00000101041.1
Gm21820,ENSMUSG00000095693.1
Gm29357,ENSMUSG00000101611.1
Gm29356,ENSMUSG00000101769.1
Gm29161,ENSMUSG00000100792.1
Gm28767,ENSMUSG00000099766.1
Gm29160,ENSMUSG00000099726.1
Gm20915,ENSMUSG00000101576.1
Gm28766,ENSMUSG00000102115.1
Gm29159,ENSMUSG00000102102.1
Gm27663,ENSMUSG00000098514.1
Gm29158,ENSMUSG00000099761.1
Gm21854,ENSMUSG00000096706.2
Gm28768,ENSMUSG00000101805.1
Gm28769,ENSMUSG00000101380.1
Gm20914,ENSMUSG00000096268.2
Gm28171,ENSMUSG00000100634.1
Gm28173,ENSMUSG00000100056.1
RP24-242C4.2,ENSMUSG00000102338.1
Gm29194,ENSMUSG00000101291.1
Gm21778,ENSMUSG00000096036.2
Gm29195,ENSMUSG00000102042.1
Gm29196,ENSMUSG00000100878.1
Gm28435,ENSMUSG00000099721.1
Gm28436,ENSMUSG00000101619.1
Gm29197,ENSMUSG00000100710.1
Gm29198,ENSMUSG00000100292.1
Gm29193,ENSMUSG00000101081.1
Gm28430,ENSMUSG00000099815.1
Gm21746,ENSMUSG00000094346.1
Gm28593,ENSMUSG00000101525.1
Gm20873,ENSMUSG00000095148.2
Gm28916,ENSMUSG00000101707.1
Gm28915,ENSMUSG00000100275.1
Gm28918,ENSMUSG00000100472.1
Gm28917,ENSMUSG00000100289.1
Gm28919,ENSMUSG00000101243.1
Gm21719,ENSMUSG00000079806.2
Gm28921,ENSMUSG00000100479.1
Gm28920,ENSMUSG00000099352.1
Gm28444,ENSMUSG00000101388.1
Gm28443,ENSMUSG00000101055.1
Gm20830,ENSMUSG00000096686.2
Gm28442,ENSMUSG00000099505.1
Gm28445,ENSMUSG00000100161.1
Gm20788,ENSMUSG00000102039.1
Gm28999,ENSMUSG00000101913.1
Gm21244,ENSMUSG00000094484.2
Gm28997,ENSMUSG00000101479.1
Gm28998,ENSMUSG00000100939.1
Gm28398,ENSMUSG00000100262.1
Gm28397,ENSMUSG00000100453.1
Gm28400,ENSMUSG00000100858.1
Gm28399,ENSMUSG00000099965.1
Gm28395,ENSMUSG00000100948.1
Gm21788,ENSMUSG00000095602.1
Gm28394,ENSMUSG00000100961.1
Gm28396,ENSMUSG00000100806.1
Gm28393,ENSMUSG00000101521.1
Gm20826,ENSMUSG00000094081.2
Vmn2r-ps149,ENSMUSG00000101181.1
Gm28576,ENSMUSG00000100645.1
Gm28575,ENSMUSG00000100124.1
Gm28574,ENSMUSG00000101956.1
Gm28573,ENSMUSG00000101351.1
Gm28572,ENSMUSG00000100412.1
Gm28571,ENSMUSG00000102026.1
Gm28570,ENSMUSG00000099800.1
Gm29049,ENSMUSG00000099861.1
Gm20825,ENSMUSG00000095324.2
Gm29047,ENSMUSG00000101616.1
Gm29048,ENSMUSG00000100312.1
Gm29045,ENSMUSG00000100258.1
Gm29046,ENSMUSG00000101229.1
Gm29043,ENSMUSG00000101456.1
Gm29044,ENSMUSG00000100421.1
CH36-246D16.2,ENSMUSG00000103618.1
Gm20824,ENSMUSG00000101928.1
Gm28146,ENSMUSG00000100239.1
Gm28145,ENSMUSG00000100460.1
Gm28148,ENSMUSG00000101331.1
Gm28147,ENSMUSG00000101366.1
Gm28142,ENSMUSG00000101142.1
Gm28141,ENSMUSG00000100047.1
Gm28144,ENSMUSG00000101858.1
Gm28143,ENSMUSG00000100933.1
Gm28150,ENSMUSG00000100804.1
Gm28149,ENSMUSG00000101672.1
Gm28098,ENSMUSG00000099929.1
Gm28330,ENSMUSG00000099939.1
Gm28331,ENSMUSG00000100491.1
Gm28099,ENSMUSG00000099566.1
Gm20815,ENSMUSG00000101053.1
Gm28328,ENSMUSG00000101732.1
Gm28329,ENSMUSG00000101056.1
Gm28270,ENSMUSG00000099904.1
Gm28327,ENSMUSG00000099523.1
Gm28097,ENSMUSG00000100542.1
Gm29365,ENSMUSG00000099956.1
Gm29364,ENSMUSG00000100080.1
Gm29363,ENSMUSG00000101441.1
Gm21292,ENSMUSG00000091077.3
Gm21721,ENSMUSG00000094679.2
Gm29366,ENSMUSG00000100109.1
Gm29281,ENSMUSG00000100848.1
Gm29330,ENSMUSG00000100105.1
Gm29329,ENSMUSG00000101095.1
Gm21812,ENSMUSG00000094773.2
Gm29535,ENSMUSG00000099688.1
Gm29533,ENSMUSG00000101094.1
Gm29534,ENSMUSG00000101647.1
Gm21874,ENSMUSG00000096223.2
Gm28849,ENSMUSG00000101737.1
Gm28847,ENSMUSG00000100752.1
Gm28848,ENSMUSG00000100463.1
Gm28846,ENSMUSG00000101977.1
Gm29471,ENSMUSG00000100661.1
Gm29474,ENSMUSG00000100571.1
Gm29475,ENSMUSG00000100087.1
Gm20821,ENSMUSG00000094556.2
Gm28506,ENSMUSG00000100049.1
Gm28507,ENSMUSG00000100477.1
Gm21301,ENSMUSG00000100800.1
Gm29142,ENSMUSG00000099439.1
Gm21310,ENSMUSG00000095032.2
Gm28509,ENSMUSG00000099372.1
Gm28508,ENSMUSG00000101699.1
Gm20834,ENSMUSG00000095242.2
Gm28510,ENSMUSG00000101396.1
Gm29525,ENSMUSG00000100995.1
Gm29526,ENSMUSG00000100273.1
Gm20737,ENSMUSG00000095950.2
Gm21775,ENSMUSG00000095860.1
Gm21900,ENSMUSG00000094867.1
Gm29527,ENSMUSG00000100369.1
Gm20775,ENSMUSG00000075359.2
Gm29522,ENSMUSG00000099668.1
Gm29523,ENSMUSG00000100731.1
Gm29524,ENSMUSG00000100074.1
Gm29528,ENSMUSG00000099676.1
Gm20777,ENSMUSG00000094813.2
Gm28955,ENSMUSG00000099482.1
Gm28954,ENSMUSG00000099776.1
Gm28953,ENSMUSG00000100742.1
Gm20776,ENSMUSG00000100730.1
Gm28958,ENSMUSG00000100567.1
Gm20828,ENSMUSG00000094838.2
Gm28957,ENSMUSG00000101319.1
Gm28956,ENSMUSG00000101789.1
Gm28952,ENSMUSG00000100015.1
Gm28951,ENSMUSG00000099572.1
Gm28390,ENSMUSG00000101690.1
Gm28391,ENSMUSG00000101842.1
Gm28389,ENSMUSG00000101871.1
Gm28655,ENSMUSG00000100919.1
Gm28654,ENSMUSG00000101123.1
Gm28657,ENSMUSG00000101276.1
Gm28656,ENSMUSG00000100368.1
Gm29554,ENSMUSG00000100231.1
Gm29556,ENSMUSG00000101469.1
Gm20812,ENSMUSG00000095508.2
RP24-248B6.1,ENSMUSG00000103330.1
RP24-334J15.1,ENSMUSG00000104505.1
RP24-334J15.2,ENSMUSG00000104468.1
Gm21379,ENSMUSG00000094135.1
RP24-388C23.1,ENSMUSG00000103361.1
RP24-89N16.1,ENSMUSG00000104267.1
RP24-334J15.5,ENSMUSG00000103352.1
RP24-334J15.4,ENSMUSG00000102335.1
Gm21891,ENSMUSG00000095769.1
Gm21425,ENSMUSG00000096820.2
RP24-334J15.6,ENSMUSG00000103474.1
Gm21828,ENSMUSG00000095759.1
GM21425,ENSMUSG00000103468.1
Gm21440,ENSMUSG00000093903.2
RP24-334J15.7,ENSMUSG00000103176.1
RP24-334J15.8,ENSMUSG00000104522.1
Gm21725,ENSMUSG00000095462.1
RP24-334J15.9,ENSMUSG00000102177.1
RP24-334J15.10,ENSMUSG00000102346.1
Gm21866,ENSMUSG00000093883.1
Gm20773,ENSMUSG00000095900.2
RP24-73D21.2,ENSMUSG00000102174.1
RP24-73D21.3,ENSMUSG00000102583.1
RP24-73D21.4,ENSMUSG00000104048.1
RP24-90B12.1,ENSMUSG00000104404.1
RP24-194N20.1,ENSMUSG00000102799.1
RP24-194N20.2,ENSMUSG00000102613.1
RP24-194N20.3,ENSMUSG00000103524.1
Gm21767,ENSMUSG00000094227.1
RP24-511N9.1,ENSMUSG00000103681.1
RP24-511N9.2,ENSMUSG00000104409.1
RP24-194N20.4,ENSMUSG00000104127.1
RP24-403G21.1,ENSMUSG00000103872.1
RP24-403G21.2,ENSMUSG00000102787.1
RP24-403G21.3,ENSMUSG00000104499.1
RP24-403G21.4,ENSMUSG00000103431.1
RP24-172H21.2,ENSMUSG00000104191.1
RP24-172H21.1,ENSMUSG00000102492.1
RP24-194N20.5,ENSMUSG00000104260.1
RP24-404F10.1,ENSMUSG00000102251.1
RP24-194N20.6,ENSMUSG00000102366.1
RP24-172H21.3,ENSMUSG00000103909.1
RP24-291E19.1,ENSMUSG00000102835.1
RP24-291E19.2,ENSMUSG00000103943.1
RP24-448M19.1,ENSMUSG00000102624.1
RP24-474E20.1,ENSMUSG00000102138.1
RP24-474E20.2,ENSMUSG00000102582.1
RP24-474E20.3,ENSMUSG00000103666.1
RP24-474E20.4,ENSMUSG00000104207.1
CH36-229E5.1,ENSMUSG00000102392.1
Gm20822,ENSMUSG00000095172.2
RP24-323M2.1,ENSMUSG00000102754.1
RP24-323M2.2,ENSMUSG00000103167.1
RP24-323M2.3,ENSMUSG00000102387.1
RP24-154F7.1,ENSMUSG00000102208.1
RP24-474E20.6,ENSMUSG00000102265.1
RP24-474E20.5,ENSMUSG00000104490.1
RP24-355N14.2,ENSMUSG00000103112.1
RP24-355N14.3,ENSMUSG00000103234.1
RP24-355N14.1,ENSMUSG00000102288.1
RP24-505O24.2,ENSMUSG00000103417.1
Gm21809,ENSMUSG00000094829.2
RP24-120F24.1,ENSMUSG00000104510.1
Gm20877,ENSMUSG00000095520.2
RP24-336M14.6,ENSMUSG00000103602.1
RP24-336M14.7,ENSMUSG00000102586.1
RP24-336M14.5,ENSMUSG00000102170.1
Rbm31y,ENSMUSG00000095365.3
RP24-336M14.4,ENSMUSG00000102421.1
RP24-382J15.1,ENSMUSG00000104032.1
RP24-192L11.2,ENSMUSG00000102400.1
RP24-382J15.2,ENSMUSG00000102520.1
Gm21904,ENSMUSG00000094161.1
RP24-336M14.3,ENSMUSG00000102726.1
Gm20831,ENSMUSG00000094325.3
Gm20772,ENSMUSG00000102739.1
RP24-336M14.2,ENSMUSG00000103757.1
Srsy,ENSMUSG00000096819.1
RP24-336M14.1,ENSMUSG00000103994.1
Gm21764,ENSMUSG00000095879.1
Ssty1,ENSMUSG00000095267.2
CH36-326H15.1,ENSMUSG00000103917.1
CH36-326H15.2,ENSMUSG00000104439.1
CH36-326H15.3,ENSMUSG00000104446.1
CH36-326H15.4,ENSMUSG00000103514.1
CH36-326H15.5,ENSMUSG00000102150.1
CH36-326H15.6,ENSMUSG00000103782.1
CH36-326H15.7,ENSMUSG00000104050.1
RP24-498N22.1,ENSMUSG00000102264.1
CH36-326H15.13,ENSMUSG00000103871.1
CH36-326H15.12,ENSMUSG00000104356.1
CH36-326H15.11,ENSMUSG00000103802.1
CH36-326H15.10,ENSMUSG00000104472.1
Gm21822,ENSMUSG00000095927.1
RP24-404G7.1,ENSMUSG00000103347.1
RP24-404G7.2,ENSMUSG00000104407.1
CH36-326H15.9,ENSMUSG00000102290.1
CH36-326H15.8,ENSMUSG00000103612.1
RP24-550J1.1,ENSMUSG00000102580.1
RP24-550J1.2,ENSMUSG00000102273.1
RP24-550J1.3,ENSMUSG00000102294.1
RP24-550J1.4,ENSMUSG00000103190.1
RP24-245I9.1,ENSMUSG00000102867.1
RP24-245I9.2,ENSMUSG00000102968.1
CH36-252L11.1,ENSMUSG00000103371.1
CH36-252L11.2,ENSMUSG00000103489.1
RP24-212A18.1,ENSMUSG00000103796.1
RP24-550J1.6,ENSMUSG00000102552.1
RP24-455G9.1,ENSMUSG00000104426.1
RP24-271M6.1,ENSMUSG00000102304.1
CH36-480L18.6,ENSMUSG00000102195.1
CH36-480L18.5,ENSMUSG00000104506.1
Gm27701,ENSMUSG00000098966.1
RP24-455G9.2,ENSMUSG00000102913.1
CH36-480L18.4,ENSMUSG00000103664.1
CH36-480L18.2,ENSMUSG00000103005.1
CH36-480L18.3,ENSMUSG00000103752.1
CH36-480L18.1,ENSMUSG00000102551.1
CH36-211B12.4,ENSMUSG00000102255.1
CH36-211B12.2,ENSMUSG00000103365.1
CH36-211B12.3,ENSMUSG00000103829.1
RP24-223L5.1,ENSMUSG00000102668.1
RP24-223L5.2,ENSMUSG00000104131.1
RP24-120I13.3,ENSMUSG00000103023.1
RP24-120I13.4,ENSMUSG00000103689.1
Gm20909,ENSMUSG00000094294.2
Gm20865,ENSMUSG00000093848.2
RP24-373O2.1,ENSMUSG00000102429.1
RP24-373O2.2,ENSMUSG00000102849.1
RP24-373O2.3,ENSMUSG00000102513.1
RP24-136L1.1,ENSMUSG00000102966.1
RP24-136L1.3,ENSMUSG00000104425.1
RP24-136L1.2,ENSMUSG00000102146.1
RP24-372A17.1,ENSMUSG00000102159.1
RP24-372A17.2,ENSMUSG00000102506.1
RP24-372A17.3,ENSMUSG00000102826.1
RP24-272N18.1,ENSMUSG00000102230.1
CH36-70P24.1,ENSMUSG00000104345.1
CH36-250N13.1,ENSMUSG00000102262.1
CH36-250N13.2,ENSMUSG00000103528.1
RP24-325L5.1,ENSMUSG00000102772.1
RP24-325L5.2,ENSMUSG00000103425.1
RP24-325L5.3,ENSMUSG00000102486.1
CH36-70P24.2,ENSMUSG00000103250.1
RP24-120D8.1,ENSMUSG00000103077.1
RP24-120D8.2,ENSMUSG00000103787.1
RP24-120D8.3,ENSMUSG00000103987.1
RP24-120D8.4,ENSMUSG00000103063.1
RP24-120D8.5,ENSMUSG00000102957.1
RP24-75P8.1,ENSMUSG00000103269.1
RP24-335A16.1,ENSMUSG00000103954.1
RP24-335A16.2,ENSMUSG00000103894.1
CH36-372A10.1,ENSMUSG00000103795.1
SLY,ENSMUSG00000103919.1
RP24-399K5.1,ENSMUSG00000103812.1
RP24-120D8.6,ENSMUSG00000104259.1
RP24-375O5.2,ENSMUSG00000102487.1
RP24-375O5.3,ENSMUSG00000102847.1
CH36-372A10.3,ENSMUSG00000103773.1
RP24-375O5.4,ENSMUSG00000102347.1
RP24-375O5.5,ENSMUSG00000104480.1
RP24-375O5.6,ENSMUSG00000104062.1
RP24-375O5.7,ENSMUSG00000103231.1
RP24-375O5.1,ENSMUSG00000102318.1
RP24-375O5.8,ENSMUSG00000103074.1
RP24-399J2.1,ENSMUSG00000102965.1
RP24-308E13.5,ENSMUSG00000104289.1
RP24-122G9.20,ENSMUSG00000102730.1
RP24-163C12.1,ENSMUSG00000102529.1
RP24-308E13.4,ENSMUSG00000103589.1
RP24-122G9.19,ENSMUSG00000102396.1
RP24-122G9.18,ENSMUSG00000104247.1
RP24-122G9.17,ENSMUSG00000104255.1
CH36-122K11.2,ENSMUSG00000102598.1
RP24-122G9.16,ENSMUSG00000102402.1
RP24-122G9.15,ENSMUSG00000104228.1
RP24-122G9.14,ENSMUSG00000103029.1
RP24-122G9.13,ENSMUSG00000102239.1
RP24-122G9.12,ENSMUSG00000103153.1
RP24-122G9.11,ENSMUSG00000103086.1
CH36-425E18.1,ENSMUSG00000103327.1
RP24-308E13.3,ENSMUSG00000104500.1
RP24-122G9.10,ENSMUSG00000103236.1
RP24-122G9.9,ENSMUSG00000102911.1
RP24-122G9.8,ENSMUSG00000103008.1
RP24-122G9.7,ENSMUSG00000103058.1
Gm20809,ENSMUSG00000093868.2
RP24-308E13.2,ENSMUSG00000102350.1
RP24-122G9.6,ENSMUSG00000102993.1
RP24-122G9.5,ENSMUSG00000103311.1
CH36-252F11.1,ENSMUSG00000104070.1
RP24-308E13.1,ENSMUSG00000103615.1
Gm21921,ENSMUSG00000094911.1
RP24-122G9.4,ENSMUSG00000104431.1
RP24-122G9.3,ENSMUSG00000103758.1
RP24-122G9.2,ENSMUSG00000104146.1
RP24-122G9.1,ENSMUSG00000102507.1
RP24-268H2.4,ENSMUSG00000102358.1
RP24-318B23.2,ENSMUSG00000103977.1
RP24-129M10.9,ENSMUSG00000102643.1
RP24-268H2.5,ENSMUSG00000103064.1
RP24-129M10.8,ENSMUSG00000102842.1
RP24-144P24.1,ENSMUSG00000103714.1
RP24-268H2.3,ENSMUSG00000103660.1
Gm21773,ENSMUSG00000094939.1
RP24-242J6.1,ENSMUSG00000103982.1
RP24-129M10.7,ENSMUSG00000102328.1
RP24-129M10.6,ENSMUSG00000103487.1
RP24-129M10.5,ENSMUSG00000103639.1
RP24-129M10.4,ENSMUSG00000104085.1
RP24-318B23.1,ENSMUSG00000102576.1
RP24-129M10.3,ENSMUSG00000103372.1
RP24-129M10.2,ENSMUSG00000102354.1
RP24-129M10.1,ENSMUSG00000102906.1
RP24-268H2.2,ENSMUSG00000103813.1
RP24-268H2.1,ENSMUSG00000104412.1
CH36-278L19.8,ENSMUSG00000104321.1
CH36-278L19.7,ENSMUSG00000103892.1
CH36-278L19.6,ENSMUSG00000103969.1
CH36-278L19.5,ENSMUSG00000102339.1
CH36-278L19.4,ENSMUSG00000102977.1
CH36-278L19.3,ENSMUSG00000102547.1
CH36-278L19.2,ENSMUSG00000103675.1
RP24-389K21.1,ENSMUSG00000103842.1
CH36-278L19.1,ENSMUSG00000104024.1
RP24-1H20.1,ENSMUSG00000103462.1
Gm28662,ENSMUSG00000101467.1
Gm28780,ENSMUSG00000101260.1
Gm21755,ENSMUSG00000101105.1
Gm20895,ENSMUSG00000099346.1
Gm28853,ENSMUSG00000101513.2
Gm28852,ENSMUSG00000101809.1
Gm28855,ENSMUSG00000099841.1
Gm28854,ENSMUSG00000099573.1
Gm28858,ENSMUSG00000102104.1
Gm20890,ENSMUSG00000100055.1
Gm28245,ENSMUSG00000101929.2
Gm28246,ENSMUSG00000101971.1
Gm28247,ENSMUSG00000101839.1
Gm28248,ENSMUSG00000102010.1
Gm20892,ENSMUSG00000101149.1
Gm28249,ENSMUSG00000101743.2
Gm28250,ENSMUSG00000101311.1
Gm28251,ENSMUSG00000100803.1
Gm28243,ENSMUSG00000100873.1
Gm28244,ENSMUSG00000101692.1
Gm21771,ENSMUSG00000100464.1
Gm21476,ENSMUSG00000102015.1
Gm29021,ENSMUSG00000101198.2
Gm28880,ENSMUSG00000099955.1
Gm28452,ENSMUSG00000099873.1
Gm21488,ENSMUSG00000099541.1
Gm28454,ENSMUSG00000101920.2
Gm28878,ENSMUSG00000099430.1
Gm28879,ENSMUSG00000100099.1
Gm29369,ENSMUSG00000100495.1
Gm21506,ENSMUSG00000100413.1
Gm29399,ENSMUSG00000100570.2
Gm29400,ENSMUSG00000101863.1
Gm29401,ENSMUSG00000099727.1
Gm20891,ENSMUSG00000099791.1
Gm20893,ENSMUSG00000101473.1
Gm28799,ENSMUSG00000101753.1
Gm28798,ENSMUSG00000101484.1
Gm28797,ENSMUSG00000100587.1
Gm28796,ENSMUSG00000099828.1
Gm20894,ENSMUSG00000101158.1
Gm28938,ENSMUSG00000099537.2
Gm28937,ENSMUSG00000101669.1
Gm28936,ENSMUSG00000099862.1
Gm21642,ENSMUSG00000101908.1
Gm21804,ENSMUSG00000100473.1
Gm29122,ENSMUSG00000101192.2
Gm28939,ENSMUSG00000101607.1
Gm28983,ENSMUSG00000101418.1
Gm28985,ENSMUSG00000099431.1
Gm20810,ENSMUSG00000101837.1
Gm20811,ENSMUSG00000100233.1
Gm28725,ENSMUSG00000100859.2
Gm28984,ENSMUSG00000099653.1
Gm28987,ENSMUSG00000100875.2
Gm28986,ENSMUSG00000100117.1
Gm29171,ENSMUSG00000101305.1
Gm28129,ENSMUSG00000099650.2
Gm28127,ENSMUSG00000101560.2
Gm28128,ENSMUSG00000101954.1
Gm21853,ENSMUSG00000096538.2
Gm28132,ENSMUSG00000099348.1
Gm28130,ENSMUSG00000099380.2
Gm28131,ENSMUSG00000101412.2
Gm21679,ENSMUSG00000094869.1
Gm29317,ENSMUSG00000099817.1
Gm29316,ENSMUSG00000099880.1
Gm29315,ENSMUSG00000101642.2
Gm28216,ENSMUSG00000101719.1
Gm28217,ENSMUSG00000100896.1
Gm28093,ENSMUSG00000099347.1
Gm28092,ENSMUSG00000101379.1
Gm28091,ENSMUSG00000100565.2
Gm28090,ENSMUSG00000101489.1
Gm29580,ENSMUSG00000100038.1
Gm28089,ENSMUSG00000100415.2
Gm28088,ENSMUSG00000101775.2
Gm29579,ENSMUSG00000100321.1
Gm29582,ENSMUSG00000100467.1
Gm21529,ENSMUSG00000095192.2
Gm29581,ENSMUSG00000100311.2
Gm21539,ENSMUSG00000094232.2
Gm29578,ENSMUSG00000099990.2
Gm21908,ENSMUSG00000101527.1
Gm21780,ENSMUSG00000096698.2
Gm28486,ENSMUSG00000099855.2
Gm21737,ENSMUSG00000094623.2
Gm28487,ENSMUSG00000100928.2
Gm28489,ENSMUSG00000100384.1
Gm28488,ENSMUSG00000099695.2
Gm28491,ENSMUSG00000100399.2
Gm28490,ENSMUSG00000094789.3
Gm21562,ENSMUSG00000094444.2
Gm28298,ENSMUSG00000101423.2
Gm21572,ENSMUSG00000095626.2
Gm28297,ENSMUSG00000101761.2
Gm21753,ENSMUSG00000099493.1
Gm21723,ENSMUSG00000096777.2
Gm28296,ENSMUSG00000100739.2
Gm21821,ENSMUSG00000095345.2
Gm28295,ENSMUSG00000100709.2
Gm21842,ENSMUSG00000095968.2
Gm28170,ENSMUSG00000101779.2
Gm21744,ENSMUSG00000094529.2
Gm28764,ENSMUSG00000101745.2
Gm28762,ENSMUSG00000100957.2
Gm28763,ENSMUSG00000099756.1
Gm21094,ENSMUSG00000095263.3
Gm21588,ENSMUSG00000096272.2
Gm28761,ENSMUSG00000099426.2
Gm21599,ENSMUSG00000096711.2
Gm28765,ENSMUSG00000101728.2
Gm21810,ENSMUSG00000100509.1
Gm21916,ENSMUSG00000095553.2
Gm29191,ENSMUSG00000101099.2
Gm21756,ENSMUSG00000095049.2
Gm28210,ENSMUSG00000101601.1
Gm29074,ENSMUSG00000101516.2
Gm28211,ENSMUSG00000101359.1
Gm28518,ENSMUSG00000100790.2
Gm28519,ENSMUSG00000101302.2
Gm28520,ENSMUSG00000102125.2
Gm20838,ENSMUSG00000095011.3
Gm21626,ENSMUSG00000094064.2
Gm28521,ENSMUSG00000099461.2
Gm21633,ENSMUSG00000096532.2
Gm28522,ENSMUSG00000101681.2
Gm21745,ENSMUSG00000101870.1
Gm28517,ENSMUSG00000101472.1
Gm29532,ENSMUSG00000101407.2
Gm29531,ENSMUSG00000099500.1
Gm28464,ENSMUSG00000100097.2
Gm29656,ENSMUSG00000101474.1
Gm29655,ENSMUSG00000099737.2
Gm21647,ENSMUSG00000101417.1
Gm29653,ENSMUSG00000101654.1
Gm29654,ENSMUSG00000101808.1
Gm29651,ENSMUSG00000099910.1
Gm29652,ENSMUSG00000099818.1
Gm29080,ENSMUSG00000100500.1
Gm21184,ENSMUSG00000100677.1
Gm21201,ENSMUSG00000100171.1
Gm29081,ENSMUSG00000099463.2
Gm29077,ENSMUSG00000100745.1
Gm29076,ENSMUSG00000101341.1
Gm29079,ENSMUSG00000100193.1
Gm29078,ENSMUSG00000099651.1
Gm20853,ENSMUSG00000101787.1
Gm29075,ENSMUSG00000101043.1
Gm29225,ENSMUSG00000099390.2
Gm29226,ENSMUSG00000100422.1
Gm29227,ENSMUSG00000100385.1
Gm28339,ENSMUSG00000100064.1
Gm20855,ENSMUSG00000095793.3
Gm29386,ENSMUSG00000101626.2
Gm29384,ENSMUSG00000101091.1
Gm21896,ENSMUSG00000100229.1
Gm29280,ENSMUSG00000101691.1
Gm20799,ENSMUSG00000100540.1
Gm29279,ENSMUSG00000100244.1
Gm28260,ENSMUSG00000099799.2
Gm21795,ENSMUSG00000099999.1
Gm28261,ENSMUSG00000101806.1
Gm28264,ENSMUSG00000101632.1
Gm21872,ENSMUSG00000099525.1
Gm20798,ENSMUSG00000100749.1
Gm28463,ENSMUSG00000099963.2
Gm28584,ENSMUSG00000100299.1
Gm28585,ENSMUSG00000101127.1
Gm20896,ENSMUSG00000096650.3
Gm28470,ENSMUSG00000102058.2
Gm28469,ENSMUSG00000100034.1
Gm21898,ENSMUSG00000099589.1
Gm28468,ENSMUSG00000100263.1
Gm20898,ENSMUSG00000101575.1
Gm29333,ENSMUSG00000100785.1
Gm28332,ENSMUSG00000099822.2
Gm28333,ENSMUSG00000101781.1
Gm28334,ENSMUSG00000101271.1
Gm28335,ENSMUSG00000099504.1
Gm28336,ENSMUSG00000101377.1
Gm28337,ENSMUSG00000101709.1
Gm28338,ENSMUSG00000099814.2
Gm28812,ENSMUSG00000100316.1
Gm28811,ENSMUSG00000101284.1
Gm28810,ENSMUSG00000100651.1
Gm20835,ENSMUSG00000101933.1
Gm29027,ENSMUSG00000100647.2
Gm29028,ENSMUSG00000101815.1
Gm29029,ENSMUSG00000101538.1
Gm29030,ENSMUSG00000100983.1
Gm29023,ENSMUSG00000101820.1
Gm29024,ENSMUSG00000100283.1
Gm29025,ENSMUSG00000099832.1
Gm29026,ENSMUSG00000101246.1
Gm28213,ENSMUSG00000101382.1
Gm28212,ENSMUSG00000099967.1
Gm21799,ENSMUSG00000101161.1
Gm28227,ENSMUSG00000100705.1
Gm20905,ENSMUSG00000101157.1
Gm29411,ENSMUSG00000099712.1
Gm28222,ENSMUSG00000099586.1
Gm21835,ENSMUSG00000100066.1
Gm28820,ENSMUSG00000101879.1
Gm28223,ENSMUSG00000099412.1
Gm29412,ENSMUSG00000101831.1
Gm29413,ENSMUSG00000100428.1
Gm29671,ENSMUSG00000099601.1
